CsvPostID,BrandName,Title,Content,CoverImage,Visibility,Status
P000011,拾木工坊,捨棄鐵釘的堅持，以傳統榫接，喚醒木材間的靈魂擁抱,在講求快速與量產的時代，我們選擇了一條最緩慢的道路。「拾木工坊」的每一件作品，都堅持不使用任何一根金屬釘子。我們依賴的是傳統的「榫接」工法——透過精密的計算與純粹的手工鑿刻，讓兩塊木頭的凹凸完美契合。<br><br>為什麼要這麼費工？因為我們將木頭視為擁有記憶的生命。鐵釘會生鏽、會強行破壞木材的肌理；而榫接，則是讓木材彼此依靠、互相咬合，形成一種堅不可摧的默契。當結構完成後，我們會進行無數次的手工打磨。指尖滑過木緣的每一次摩擦，都是在喚醒原木的靈魂，直到它褪去粗糙，展現出如同肌膚般溫潤、絲滑的觸感。這是一場守護森林記憶的儀式，也是我們對職人精神最安靜的致敬。,006P1,Follower,Published
P000012,拾木工坊,時間刻畫的溫潤，木器物與你的日常生活對話,很多人以為，當一件木器被製作完成，它的生命就定型了。但在「拾木工坊」，我們認為這只是它旅程的開始。木頭是會呼吸的，當它來到你的家中，它就成了與你朝夕相處的家人。<br><br>每一件原木器皿，都會忠實地記錄下你的生活軌跡。隨著你的觸摸、使用，甚至是環境濕度的變化，木頭表面的天然油脂會慢慢沉澱，隨著歲月推移，散發出獨一無二的深邃光澤。這種被稱為「包漿」的變化，是時間賦予的魔法，也是它與你之間無聲的對話。它不會喧嘩，也不會抱怨，只是靜靜地待在餐桌上、角落裡，用它最安定的姿態，成為你家中最忠誠、最溫暖的陪伴者。,006P2,Public,Published
P000013,竹跡日常,打破老派的刻板印象，孟宗竹與現代幾何的編織對話,誰說竹藝只能停留在阿嬤家的記憶裡？這幾天工作室裡滿地都是剛處理好的台灣孟宗竹篾。為了準備接下來在日作市集的新品，我們團隊正挑戰將複雜的現代幾何圖形，融入傳統的竹編技法中。<br><br>看著堅韌的竹篾在指尖穿梭、交錯，逐漸成形為一盞充滿現代感的俐落燈飾，那種成就感難以言喻。竹材本身帶有一種溫潤的清香，當暖黃色的燈光透過幾何孔洞灑落在現代居家的牆面上，原本生硬的都會空間瞬間柔軟了下來。我們希望「竹跡日常」能顛覆大家對竹製品的想像，讓這份帶著在地溫度的傳統工藝，以最時尚、優雅的姿態，重新走入你的生活日常。,007P1,Public,Published
P000014,竹跡日常,彎而不折的生活哲學，把永續與韌性收納進都會空間,在「竹跡日常」的創作過程中，我們最迷戀的就是竹子那份驚人的彈性與韌性。面對外力，它能彎曲到不可思議的角度卻不折斷，這不正是我們在擁擠、高壓的現代都市中，最需要的生活態度嗎？<br><br>今天剛完成了一批新的收納籃。我們刻意捨棄了繁複的裝飾，保留竹材最純粹的質感與簡約的線條。在這個提倡永續的時代，竹子生長快速且環保，是再完美不過的素材。想像一下，在極簡風的現代公寓裡，角落擺放著一個散發著自然氣息的竹編籃，裡面或許裝著你最愛的幾本書，或是柔軟的毛毯。來市集感受一下這份韌性吧，讓竹藝不再老派，而是成為你質感生活的一部分。,007P2,Public,Published
P000015,山林之聲,保留大自然的詩篇，不完美的「自然邊緣」最動人,早晨走進工作室，迎接我的是滿室濃郁的木頭香氣。工作檯上散落著幾塊剛裁切好的原木，我正準備為它們進行細部打磨，製作成獨特的木牌與小巧的木墜項鍊。<br><br>在「山林之聲」，我有一個堅持：盡可能保留木材的「自然邊緣」。很多人問我，為什麼不把那些粗糙的樹皮削平？為什麼要留下那些看似瑕疵的蟲洞？因為對我而言，那些都不是瑕疵，而是大自然耗費數十年歲月書寫的詩篇。每一道裂紋、每一個蟲蛀的痕跡，都訴說著這塊木頭在森林裡經歷的風雨。我只是個翻譯者，透過雕刻與打磨，讓這些獨一無二的故事得以被看見。希望當你在日作市集遇見它們時，能從這些不完美的邊緣中，感受到最純粹的生命力。,008P1,Public,Published
P000016,山林之聲,都市裡的靜謐綠洲，觸摸木紋，聽見遠方山谷的呼喚,市的喧囂有時讓人感到疲憊，而我的工作室，就是我為自己打造的靜謐綠洲。這幾天，我正專注於製作幾個無釘的榫接木盒。榫卯結構需要極高的精準度，但當兩塊木頭嚴絲合縫地契合在一起時，那種渾然天成的感覺，總是讓我深深著迷。<br><br>除了精密的木盒，我也創作了許多原木雕刻擺件。我不喜歡過度加工，而是順應著木紋的走向去創作。當你閉上眼睛，指尖輕輕滑過這些未經厚重漆面覆蓋的木頭紋理，你會發現，即使身處水泥叢林，也能瞬間被拉回那片寂靜的森林。我期待這些帶著山林氣息的作品，能成為你都市生活中的一點慰藉，讓你在喧鬧的日常裡，依然能聽見遠方山谷溫柔的呼喚。,008P2,Public,Published
P000017,微木森林,桌上的微型綠洲，在待辦事項之間，為自己留一座森林,當滑鼠的點擊聲與鍵盤的敲擊聲交織成日常的節奏，螢幕旁那疊厚厚的文件，是否總讓你感到一絲喘不過氣？在「微木森林」，我們懂那種渴望在水泥叢林裡深呼吸的期盼。<br><br>我們不打造龐然大物，而是將目光聚焦於你每天凝視最久的辦公桌。從沉穩的胡桃木到溫暖的櫻桃木，我們將這些珍貴的自然恩賜縮小比例，化作精巧的名片座、手機架與鋼筆盒。當你在繁忙的公務空檔中抬起頭，或是喝口水的瞬間，只要視線落在桌面，就能看見那細緻的木紋理。這方寸之間的微型風景，不只是實用的辦公小物，更是為你專屬打造的寧靜微木森林，隨時準備好接住你的疲憊。,009P1,Public,Published
P000018,微木森林,方寸間的極致講究，不因微小而妥協的木紋美學,將物件縮小，往往意味著瑕疵會被無限放大。「微木森林」的誕生，源自於對精準度的極致挑戰。製作桌上的微型木作，其難度絕不亞於大型傢俱。<br><br>每一件手機架的傾斜角度、每一款鋼筆盒的開合手感，都經過無數次的精雕細琢。我們在極小的比例中，苛求線條的流暢度與木材肌理的展現。職人的雙手在細微的木屑中穿梭，透過顯微鏡般的專注力，確保木材的每一個切面都完美無瑕。我們深信，真正的工藝精神不存在於體積的大小，而是隱藏在那些看似不起眼的細節裡。微木森林要帶給你的，是握在掌心就能感受到的、毫無妥協的頂級手作質感。,009P2,Follower,Published
P000019,輪年木作,純粹的生活減法，用永續木材，勾勒北歐的質樸線條,在喧囂的現代生活中，我們越來越渴望回歸簡單。「輪年木作」以現代北歐風格為靈感，褪去繁複的裝飾，將設計的語彙交還給木材本身。<br><br>我們堅持選用獲得永續認證的木料，這不僅是對自然環境的尊重，更是我們對材質純粹性的追求。每一件實木家具與家飾，都強調流暢的幾何線條與木材原生的溫潤色澤。沒有多餘的五金干擾，只有最純粹的木質觸感。我們希望透過這種「減法」的設計哲學，讓空間變得輕盈、明亮。選擇輪年木作，不僅是選擇了一件高質感的家飾，更是選擇了一種友善地球、純粹無負擔的生活態度。,010P1,Public,Published
P000020,輪年木作,年輪裡的時光記憶，讓實木家具，陪你慢慢過日子,樹木的年輪，刻劃了四季的更迭與風雨的洗禮；而家中的木作，則會記錄下你與家人共同生活的點點滴滴。「輪年木作」始終認為，一件好的實木家具，從來都不該只是空間裡的消耗品。<br><br>當一張實木餐桌入駐你的家，它便開始參與你們的生活。桌角可能會留下孩子學步時不小心磕碰的微小痕跡，桌面會因長年擺放熱湯而透出溫潤的光澤。這些歲月的印記，都是生活積累的證明。我們用心製作每一件家具，期盼它們能成為這個家中最安靜、卻也最長情的成員。在這個快節奏的時代裡，讓輪年木作陪你慢下腳步，一起在時光的年輪裡，慢慢刻劃屬於你們的家的記憶。,010P2,Public,Draft
P000021,針線日常,【手作紀實】布料的偏執 ｜ 尋找完美盛裝生活的容器,說起對布料的挑剔，我大概是到了有些偏執的程度。今天工作室又送來了一批新訂的日本進口厚磅帆布，當指尖滑過那紮實的紋理，我就知道，這正是我想尋找的完美質地。很多人問我，為什麼「針線日常」的設計總是這麼簡約？因為我相信，布包不該只是喧賓奪主的配件，它是盛裝我們日常生活的容器。沒有繁複的花邊，我把心思全放在了實用的隔層與俐落的剪裁上。在日作市集裡，我期待這些帶著知性氣息的提袋，能找到懂它的主人。帶著它去買菜、去圖書館、去旅行吧，讓這塊帆布在時間的洗禮下，漸漸染上專屬於你的生活氣味。,011P1,Follower,Published
P000022,針線日常,【手作紀實】車縫的節奏 ｜ 經得起時間考驗的日常陪伴,伴隨著老式裁縫機規律的「噠噠」聲，這週我正趕製著幾款經典的托特包。越是簡單的設計，就越考驗基本功。為了確保提袋的耐用度，每一個受力點我都反覆進行了多次的加固車縫。厚磅帆布最迷人的地方，就在於它剛開始或許有些硬挺，但隨著你每天的拉扯、摩擦，它會逐漸軟化，順著你的使用習慣改變形狀。這是一種緩慢而深刻的陪伴。我希望我的作品不是用過一季就丟棄的快時尚，而是能陪你走過許多街頭巷尾的好夥伴。期待在市集相遇時，你能親自感受這份沉甸甸的紮實心意。,011P2,Public,Published
P000023,花開手縫,【工坊隨筆】指尖上的春日 ｜ 一針一線繡出法式浪漫,今天的陽光特別溫柔，正適合坐在窗邊進行細緻的英式刺繡。我的膝上攤著一塊正準備做成化妝包的亞麻布，繡花針穿梭其間，一針一線，彷彿帶著某種安靜的節奏感。我特別偏愛法式碎花與刺繡的結合，每一次看著平面的布料上漸漸綻放出立體的小花，那種滿溢的少女心與成就感，總是讓我深陷其中。「花開手縫」想傳遞的，就是這份充滿手作溫度的浪漫。在這段籌備市集的日子裡，我將滿滿的喜悅縫進了每一個髮帶與抱枕中，希望能為你的居家生活，點綴一抹如春季花開般的甜蜜時光。,012P1,Public,Published
P000024,花開手縫,【工坊隨筆】碎花布的狂想 ｜ 點亮平凡日常的鄉村風情,走進我的工作室，你大概會以為誤闖了某個南法小鎮的布莊。這裡堆滿了我從各地蒐集來的法式碎花布料，每一塊都承載著不同的浪漫狂想。這幾天，我正忙著將這些布料搭配組合，製作一系列充滿鄉村風的居家布小物。我覺得生活有時太過按部就班，正需要這些柔軟、精緻的物件來療癒自己。無論是清晨洗漱時戴上的碎花髮帶，還是下班後窩在沙發上抱著的刺繡抱枕，我都希望它們能成為你平凡日常裡的一點光亮。期待帶著這些充滿春天氣息的作品來到日作市集，與每個心中依然保有浪漫的女孩相遇。,012P2,Public,Published
P000025,藍染布跡,藍色與時間的實驗，古法大菁的純粹發酵,在講求效率的現代，我們選擇將腳步慢下來，把時間交還給大自然。藍染布跡是一場沒有捷徑的實驗，我們堅持使用天然的大菁作物，遵循古法，讓植物在缸中緩慢發酵。那抹深邃迷人的藍，無法靠化學染劑一秒速成，而是需要職人雙手反覆地浸染、氧化、再浸染。過程中的每一次等待，都是為了讓色彩更扎實地咬合在纖維裡。這是一場與時間的溫柔拉鋸，我們不追求大量製造，只在乎每一寸布料，是否都真切地吸飽了大地的精華。,013P1,Public,Published
P000026,藍染布跡,陽光與水溫的印記，每一塊布料都有自己的靈魂,如果你渴望擁有一件絕對標準化的商品，那藍染布跡或許會讓你意外。因為在這裡，大自然才是真正的設計師。無論是一條輕柔的圍巾，還是掛在窗邊隨風飄動的家居布簾，它們的色澤深淺與獨特紋路，都取決於染布那一天的陽光烈度與水溫高低。天氣的陰晴圓缺，全都被誠實地記錄在布面之上。每一次的拆線與展開，都是一次無法複製的驚喜，這些充滿層次感的藍，帶著自然的吐息與溫度，讓每一件作品都擁有了無法被取代的靈魂。,013P2,Follower,Published
P000027,裁縫詩人,用針線寫下的現代詩，獻給生活愛好者的情書,文字不一定要安靜地躺在書本裡，它可以隨著你的腳步，走進廚房、走進街巷。「裁縫詩人」相信，布料是最好的紙張，而針線則是我們最溫柔的筆觸。我們將文學的意象揉合進日常布藝之中，或許是在一件亞麻圍裙的口袋邊緣，悄悄刺上一句雋永的短詩；又或者是在束口袋的角落，藏著一段引人遐想的字句。這些細微的設計，就像是在平凡日子裡埋下的浪漫伏筆。這裡的每一件創作，都是我們為熱愛生活的你，量身訂做的日常情書。,014P1,Public,Published
P000028,裁縫詩人,異材質的浪漫拼貼，布料上的抽象意境與造夢,如果說裁縫是一場造夢的過程，那我們最喜歡的，就是在夢境裡玩一場不受拘束的實驗。「裁縫詩人」打破了材質的既有界線，我們熱衷於將截然不同的元素碰撞在一起。粗獷的麻布可以與細緻的蕾絲溫柔對話，而滑順的綢緞也能與質樸的棉麻完美交融。透過這些異材質的解構與拼貼，我們在布面上創造出如畫作般的抽象意境。每一件作品都不僅僅是實用的物件，更是一個充滿故事性與視覺張力的微型藝術品，等待著與你的品味產生共鳴。,014P2,Public,Published
P000029,樸布物語,極簡的禪意，會呼吸的無染棉麻,這幾天工作室的桌上，只剩下最純粹的色彩。我正專注於處理一批新送來的有機棉麻布料，沒有經過任何漂染，它們保留了植物最原始的微黃色澤與天然光澤。在「樸布物語」，我們深信最好的設計就是「消失的設計」。<br><br>在打版與剪裁這批手作服飾時，我刻意捨棄了所有不必要的裝飾與複雜的抓皺，只留下大方俐落的線條。當你穿上這些衣物，會發現布料本身的透氣感與溫潤觸感成為了真正的主角。期待在日作市集裡，與崇尚斷捨離的你相遇，讓我們一起透過這些褪去繁複的織品，感受回歸原始、最舒適自在的穿著體驗。,015P1,Public,Published
P000030,樸布物語,褪去繁飾的寧靜，回歸純淨的居家生活,生活越是喧囂，我們越渴望一個純淨的避風港。除了服飾，最近我也著手製作了幾款極簡的家居用品。一塊素淨的棉麻桌布，或是一席透光的窗紗，都能瞬間改變空間的氛圍。<br><br>「樸布物語」追求的禪意美學，不僅體現在穿著，更是一種生活態度的延伸。在縫製這些家居用品時，我享受著布料在指尖滑過的質樸手感。沒有奪目的印花，只有經緯線交織出的細膩紋理。當我把這些作品佈置在日作市集的攤位上時，總能感受到一股安定的力量。如果你也嚮往簡單、純粹的生活空間，不妨帶走一件純淨的棉麻小物，讓居家時光回歸最單純的狀態。,015P2,Public,Published
P000031,暖絨小鎮,守護夢境的誕生，那抹最治癒的微笑,「每一隻小偶，都是為了守護夢境而生。」這是「暖絨小鎮」不變的初衷。今天的工作檯上，散落著柔軟的親膚有機棉。不同於工廠冰冷的標準化產線，我堅持用雙手慢慢縫製出小偶溫柔的曲線。<br><br>最花時間的步驟，往往是臉部表情的微調。有時眼角稍微垂一點，或是嘴角的弧度多拉零點一公分，散發出的感覺就截然不同。經過無數次的嘗試與修改，終於繡出了那抹最能安撫人心的治癒微笑。在日作市集裡，這些剛誕生的小偶正靜靜等待著。我期盼它們能順利去到孩子們的身邊，成為他們安穩入睡時，最溫暖安心的守護者。,016P1,Follower,Published
P000032,暖絨小鎮,最溫柔的傾聽者，找回大人遺落的童心,安撫偶真的只是嬰幼兒的專利嗎？在製作「暖絨小鎮」的作品時，我常常思考這個問題。很多時候，大人也需要一個柔軟的擁抱。這週我特別挑選了觸感極佳的有機棉，縫製了幾隻體型稍大一些的陪伴偶。<br><br>它們沒有複雜的機關，只有柔軟的身軀和安靜傾聽的姿態。當你把它抱在懷裡，那份純粹的柔軟彷彿能接住所有疲憊。在日作市集擺攤的經驗告訴我，那些駐足在攤位前、眼神閃爍著光芒的，往往是渴望純粹的大人們。希望這些充滿手作溫度的小偶，不僅是孩子童年最忠實的聽眾，也能陪著每個大人，找回心裡那份遺落已久的童心。,016P2,Public,Published
P000033,怪奇布獸,擁抱不完美的靈魂，醜萌美學的搞怪逆襲,在這個總是要求精緻與無瑕的世界裡，「怪奇布獸」決定反其道而行，為那些奇奇怪怪的想法發聲。誰說布偶一定要有著圓滾滾的大眼睛和標準的微笑？我們更偏愛那些有點歪斜的嘴角、不對稱的耳朵，以及難以定義的「醜萌」姿態。每一隻從這裡誕生的怪獸，都有自己專屬的名字和讓人哭笑不得的壞習慣。它們的存在就像是一個溫柔的提醒：你不必完美才能被愛。接納自己的古怪與獨特，你會發現，那些不符合標準的模樣，往往才是最迷人、最能與靈魂產生共鳴的真實印記。,017P1,Public,Published
P000034,怪奇布獸,色彩斑斕的異材質拼貼，專屬你的古怪布藝夥伴,在「怪奇布獸」的工作室裡，沒有一成不變的版型，只有充滿未知的材質實驗。我們熱衷於將觸感截然不同的布料碰撞在一起，可能是毛茸茸的短絨搭配著滑順的燈芯絨，再點綴上色彩斑斕的誇張五官。透過這些看似衝突卻又意外和諧的異材質拼接，每一隻怪獸都被賦予了無法複製的生命力。在這裡，你絕對找不到兩隻一模一樣的作品。我們相信，總有一個特別的靈魂，正在尋找那個頻率相同、既搞怪又溫暖的布藝夥伴，陪著你一起在平凡的日常裡調皮搗蛋。,017P2,Follower,Published
P000035,森林童話,布料上的自然捏塑，還原森林動物的細膩神韻,「森林童話」的創作過程，與其說是裁縫，不如說是一場柔軟的雕塑。出於對大自然的深厚迷戀，我們將布料視為黏土，透過精密的剪裁與縫製，致力於捕捉小動物們最真實的姿態。從兔子微微豎起的靈動長耳，到松鼠蓬鬆柔軟、讓人忍不住想觸摸的巨大尾巴，每一個細節都經過反覆推敲，力求在視覺與觸覺上達到極致的擬真。我們希望這些作品不只是一個個布偶，而是能將山林裡那份充滿生機的呼吸感，以最溫柔的方式，安放在你的手心之中。,018P1,Public,Published
P000036,森林童話,刺繡花草的繪本魔法，將山林平靜帶入居家日常,如果森林裡的動物們走進了人類的家，那會是怎樣的畫面？在「森林童話」裡，我們用一針一線，為這個想像加上了最浪漫的濾鏡。為了讓動物布偶們更具故事性，我們喜歡在作品的細微處，手工刺繡上精緻的花草元素。也許是狐狸頸間的一圈野雛菊，或是小鹿背上悄悄綻放的蕨類植物。這些細膩的刺繡點綴，彷彿施展了繪本裡的魔法，讓每一隻布偶都像是從童話書頁裡躍然而出。把它們擺在沙發上或床頭邊，就能輕易地將山林間的純粹與平靜，引入你的居家生活。,018P2,Public,Published
P000037,抱抱時光,被包圍的安全感，疲憊夜晚的情緒出口,「生活太累時，就給自己一個擁抱吧。」這句話一直貼在我的工作室牆上，也是「抱抱時光」誕生的理由。這幾天，我正忙著為即將到來的日作市集準備新一批的大尺寸舒壓抱枕。<br><br>這次特別挑選了極致柔軟的彈性布料，搭配高密度的減壓棉心，製作了幾款長條形的雲朵偶。當你整個人陷進去時，那種能精準貼合身形的包覆感，就像是被一團溫柔的雲朵穩穩接住了一樣。我們賣的不只是一隻巨大的娃娃，而是一份能在深夜裡提供支撐的實體陪伴。希望這份專屬的柔軟，能成為你卸下整天疲憊後，最安心放鬆的情緒出口。,019P1,Public,Published
P000038,抱抱時光,揉捏圓滾滾的胖貓，釋放生活中的沉重壓力,今天工作室的角落，堆滿了剛成型的圓滾滾胖貓抱枕。有時候，壓力的釋放需要一點最直接的物理接觸。這款胖貓抱枕的設計初衷，就是為了讓人能盡情擁抱與揉捏。<br><br>高彈性的親膚布料讓它無論怎麼擠壓，都能給予最紮實的回饋。每一次的用力擁抱，都像是在把生活裡的繁雜與沉重慢慢擠壓出去，換回滿滿的安全感。期待帶著這群胖貓來到日作市集，如果你最近也覺得有些喘不過氣，歡迎來攤位上給自己一個大大的擁抱，讓這份毫無保留的柔軟為你重新充電。,019P2,Public,Published
P000039,針織好朋友,毛線與布料的相遇，編織北歐風的恬靜角落,當毛線的柔韌遇上布料的厚實，總能碰撞出迷人的火花。這週我正為「針織好朋友」的布偶們挑選新的配色，我特別偏愛那些溫潤且耐看的北歐大地色系。<br><br>有別於一般的布偶，我喜歡將鉤針編織的技術應用在作品的細節上。布料的平整與毛線的立體交織在一起，讓每一個手作偶都充滿了豐富的層次感。在日作市集的展示桌上，我總喜歡將它們錯落有致地擺放著，彷彿自成一個靜謐的小世界。希望這些帶著恬靜手作溫度的布偶，能跟著你回家，成為書架上或床頭邊最精緻的一抹點綴。,020P1,Public,Published
P000040,針織好朋友,指尖上的細緻魔法，戴著毛帽的專屬陪伴,製作一個布偶，最讓我享受的過程就是最後的「穿搭」時間。今天我正用鉤針為幾隻新完成的布偶，細細編織著迷你毛帽和圍巾，甚至為它們加上了可以活動的關節，讓它們能擺出各種生動的姿態。<br><br>這種將鉤織技術結合布偶的做法雖然十分耗時，卻能賦予每個作品獨一無二的靈魂。每一頂小帽子、每一條小圍巾的紋理，都藏著我對細節的堅持。下次逛日作市集時，不妨停下腳步仔細看看這些小傢伙身上的編織巧思，挑選一個與你最投緣的針織好朋友吧。,020P2,Public,Draft
