MemberID,CreatorID,BrandName,BrandIntro,StartDate,ApplicationOffsetDays,ReviewOffsetDays,ConfirmOffsetDays,BankCode,BankAccount
M0000014,C00012,花開手縫,花開手縫是一個充滿少女心與浪漫氣息的空間。我們瘋狂熱愛著法式碎花與英式刺繡，致力於製作精緻的化妝包、髮帶與抱枕。每一朵小花都是我們一針一線親手縫製上去的，充滿了手作的溫度與節奏感。我們希望能為平凡的居家生活帶來一點鄉村風的甜蜜，讓每個女孩在拿起這些布小物時，都能感受到如春季花開般的喜悅。,2025/9/5,20,3,2,,
M0000015,C00013,藍染布跡,這是關於藍色與時間的實驗。我們堅持古法植物染，使用天然的大菁作物，經過繁複的發酵與反覆浸染，才成就出那抹深邃的藍。藍染布跡的作品從圍巾到家居布簾，每一件的色澤與紋路都因當天的陽光與水溫而異。我們不追求快速生產，只在乎每一寸布料是否都吸飽了大自然的精華，展現出靈魂的層次感。,2025/11/8,20,3,2,,
M0000016,C00014,裁縫詩人,「用針線寫詩，用布料造夢。」我們是裁縫詩人。我們的品牌特色在於將文學意象融入布藝設計，例如在圍裙的口袋處刺上一句詩，或是在束口袋上拼貼出抽象的意境。我們喜歡實驗異材質的拼接，將蕾絲、粗麻與綢緞融合在一起，創造出具備文藝感與故事性的作品。這裡的每一件創作，都是獻給生活愛好者的情書。,2025/10/12,20,3,2,,
M0000017,C00015,樸布物語,樸布物語追求的是極簡的禪意美學。我們只使用素色、無漂染的有機棉麻布料，剪裁大方俐落，不帶一絲贅飾。我們認為最好的設計是「消失的設計」，讓布料本身的天然光澤與透氣感成為主角。我們提供高品質的手作服飾與家居用品，適合崇尚斷捨離、追求純淨生活的你，讓穿著與居家都能回歸到最原始、最舒適的狀態。,2025/8/21,20,3,2,,
M0000018,C00016,暖絨小鎮,「每一隻小偶，都是為了守護夢境而生。」我們堅持使用親膚有機棉，專門製作嬰幼兒安撫偶。不同於工廠冰冷的產線，我們的手工布偶擁有溫柔的曲線，表情經過無數次微調，只為呈現那抹最治癒的微笑。希望暖絨小鎮的作品能成為孩子童年最忠實的聽眾，陪著他們長大，也陪著大人找回遺落已久的童心。,2025/10/30,20,3,2,,
M0000019,C00017,怪奇布獸,誰說娃娃一定要長得中規中矩？怪奇布獸專注於「醜萌」美學，運用色彩斑斕的異材質拼接與誇張的五官設計，創造出一群擁有古怪個性的布偶。每一隻怪獸都有自己的名字與壞習慣，我們想傳達的是：擁抱自己的不完美與獨特性。這裡沒有一模一樣的作品，只有能與你靈魂共鳴、既搞怪又溫暖的布藝夥伴。,2025/8/29,20,3,2,,
M0000020,C00018,森林童話,我是一位深愛大自然的捏塑師，只是我的媒材變成了布料。在森林童話，我致力於製作擬真的森林動物布偶，從兔子的長耳到松鼠的蓬鬆尾巴，都力求細膩的觸感與神韻。我喜歡在作品中加入刺繡的花草元素，讓每一隻布偶都像是從童話繪本中走出來一般。希望透過這些作品，能將山林間的純粹與平靜帶進你的居家生活。,2025/10/17,20,3,2,,
M0000021,C00019,抱抱時光,「生活太累時，就給自己一個擁抱吧。」抱抱時光專門研發大尺寸的舒壓抱枕偶，採用極致柔軟的彈性布料與減壓棉心。我們的設計初衷是提供一種「被包圍的安全感」，無論是長條形的雲朵偶還是圓滾滾的胖貓，都能精準貼合你的身形。我們不只是賣娃娃，更是提供一份情緒的出口，讓你在每一個疲憊的夜晚都能獲得最溫暖的支撐。,2025/8/11,20,3,2,,
M0000022,C00020,針織好朋友,當毛線的柔韌遇上布料的厚實，就誕生了針織好朋友。我是品牌主理人，擅長將鉤針編織技術應用於布偶的細節，如毛帽、圍巾或是活動關節。我的作品帶有濃厚的北歐雜貨風格，色調溫潤且耐看。我希望這些具備層次感的手作偶，能成為你書架上或床頭邊最精緻的點綴，用編織的紋理為你的生活空間增添一份恬靜的手作溫度。,2025/10/26,20,3,2,,
M0000023,C00021,皮墨原創,皮革是有記憶的材料，它會隨著主人的體溫與汗水，幻化出獨一無二的光澤。皮墨原創專注於頂級植鞣革的純手工創作，我們不使用化學漆料遮蓋皮紋，而是尊重大自然留下的傷痕與褶皺。每一件皮夾與包袋都經過職人的手工縫製與邊緣打磨，追求的是一種能傳承的耐用度。我們邀請你與皮件一起成長，書寫專屬於你的陳年故事。,2025/8/2,20,3,2,,
M0000024,C00022,匠心革作,「我熱愛皮革被拉扯、被縫合時散發的原始氣息。」我是匠心革作的創作者。我偏愛粗獷的風格，喜歡保留皮革的厚實感，並用顯眼的粗手縫線勾勒出結構的張力。我的作品如職人皮具組、重機風格配袋，都展現出一種硬派的生命力。我追求的是實用與極致的堅固，每一件作品都是為了經受時間考驗而生，是獻給熱愛冒險與生活的你的禮物。,2025/9/22,20,3,2,,
M0000025,C00023,輕奢皮飾,誰說皮藝不能優雅？輕奢皮飾將纖細的皮雕工藝與精緻的五金零件結合，專為都會女性打造輕巧、時尚的皮革配件。我們挑選色澤粉嫩、質地細緻的羔羊皮與牛皮，製作成如珠寶盒般的零錢包或氣質皮革首飾。我們的理念是讓皮革展現出如綢緞般的柔軟姿態，為你的日常穿搭增添一抹精緻而低調的奢華感，展現自信的迷人風采。,2025/9/8,20,3,2,,
M0000026,C00024,復古皮革室,走進復古皮革室，就像回到了上個世紀的老師傅工作間。我們癡迷於懷舊美學，擅長復刻經典的相機包、公事包與手工皮底鞋。透過特殊的擦色工法，我們讓全新皮件呈現出如古董般的迷人韻味。我們相信經典永不過時，每一件作品都是對過往時光的致敬，適合那些靈魂裡住著老派紳士或復古少女的藝術愛好者，感受跨越時空的品味。,2025/11/10,20,3,2,,
M0000027,C00025,柔皮日常,柔皮日常推崇的是「輕、薄、簡」的皮革哲學。身為設計師，我致力於減輕皮革的重量??，開發出適合通勤族的超輕量皮夾與手機袋。我們選用質地輕盈但韌性十足的皮料，搭配極簡的裁切線條，不帶一絲贅飾。這是一個強調生活機能感的品牌，希望皮革能以最無負擔的方式融入你的每一天，讓你在繁瑣的都市節奏中，依然能保有優雅俐落的姿態。,2025/8/15,20,3,2,,
M0000028,C00026,泡沫浮雲,「沐浴，是一場與自己的深度對話。」泡沫浮雲堅持使用冷製工法製作手工皂，保留了天然植物油中的甘油精華。我們不添加人工合成界面活性劑，只用純淨的水、油與草本礦泥，調配出如雲朵般綿密細緻的泡沫。每款肥皂都擁有獨特的精油香氣，讓你在洗淨塵垢的同時，也能被自然的芬芳環繞，找回肌膚最原始的呼吸感與純粹。,2025/9/30,20,3,2,,
M0000029,C00027,鹽之呼吸,我們從海洋與深山中尋找舒壓的答案。鹽之呼吸專門開發以喜馬拉雅山岩鹽與沖繩海鹽為基底的浴鹽系列。我們結合了色彩療法與芳香療法，將乾燥花瓣與精油揉入鹽礦中，讓你的浴缸化為五彩繽紛的療癒湖泊。這不僅是去角質的修護，更是一次心靈的淨化儀式，讓鹽分的能量帶走一整天的負擔，煥發身心的純淨能量。,2025/10/24,20,3,2,,
M0000030,C00028,草本萃室,我深信大自然是最好的藥劑師。草本萃室的每一瓶洗髮露與沐浴乳，都源自於我親自萃取的植物精華。我們研發了多種針對不同體質的草本配方，如舒緩乾燥的艾草與平衡油脂的茶樹。品牌核心在於「森林浴」的體感，希望你在浴室的小空間裡，就能感受到山林間的微風與濕潤氣息，讓每日的清潔工作昇華為與大地連結的感官饗宴。,2025/8/26,20,3,2,,
M0000031,C00029,沐浴光影,沐浴光影將肥皂提升到了藝術品的高度。我們擅長製作「寶石皂」，運用特殊的半透明工藝與渲染技術，讓每一塊肥皂都如同剛出土的礦石般晶瑩剔透。這些作品在燈光下會折射出迷人的光影變化，放在浴室裡就像一件精緻的裝飾品。我們想證明，生活用品也可以極具視覺美感，讓你在享受滑順膚感的同時，也沉浸在色彩美學的流動之中。,2025/8/20,20,3,2,,
M0000032,C00030,純淨之源,專為敏感肌膚與母嬰設計，純淨之源屏除了一切多餘的成分。我是品牌主理人，因為自己也深受肌膚過敏之苦，所以致力於研發最溫和的潤膚沐浴油。我們採用低敏、無香料的科學配方，強調強健肌膚屏障。對我們而言，護理不應該是層層堆疊，而是減法藝術。希望這份純粹的關懷，能讓每一位使用者感受到如水般清澈、無負擔的安心照護。,2025/10/14,20,3,2,,
M0000033,C00031,居所微光,光影，是居家靈魂的調光師。居所微光專注於手工製作質感小夜燈與燭台，我們結合了玻璃噴砂與陶瓷透光技術，創造出柔和而不刺眼的環境光。每一盞燈都擁有獨一無二的紋路，在黑夜中投射出夢幻的暗影。我們想為你打造一個能讓心安定的角落，讓家不只是居住的空間，而是一個能容納所有疲憊、散發著溫暖微光的避風港。,2025/11/5,20,3,2,,
M0000034,C00032,木石共生,「硬冷的水泥與溫潤的木頭，能碰撞出驚人的和諧。」這是木石共生的設計核心。我們擅長製作極簡風格的居家小物，如擴香座、名片夾與盆器。透過對兩種材質比例的精確掌控，呈現出極具現代感的工業風美學。我們相信簡約的力量，這些小物雖然體積不大，卻能透過質感的對比，在無聲中提升整個空間的格調，展現居住者不凡的品味。,2025/9/1,20,3,2,,
M0000035,C00033,彩織掛毯,我是彩織掛毯的編織師，我習慣用五顏六色的棉線織出我對世界的想像。我們專精於 Macram? 法式編織掛布與牆面裝飾。不同於冰冷的粉漆牆面，編織掛毯能賦予空間立體感與溫度。我們喜歡加入羽毛、漂流木與天然礦石，讓作品散發出一股自由奔放的波希米亞氣息。希望我的作品能為你的房間增添靈動的生命力，編織出一段溫柔的生活詩。,2025/7/25,20,3,2,,
M0000036,C00034,窗邊日常,窗邊日常是捕捉光影的藝術品牌。我們熱愛製作水晶捕夢網與「太陽捕手」掛飾。當陽光穿透切割精緻的奧地利水晶，會在你的牆面上撒下無數道細小的彩虹。我們相信這些光點擁有神奇的魔力，能瞬間點亮沉悶的心情。這是一個關於陽光與希望的品牌，希望能陪你一起看守窗外的四季更迭，將大自然最美的一道光永遠留在你的居所之中。,2025/10/2,20,3,2,,
M0000037,C00035,雜貨角落,這裡收藏了所有對「慢生活」的嚮往。雜貨角落走的是日系鄉村與 Zakka 風格，主理人喜歡蒐集古舊的物件進行改造，製作成充滿歲月痕跡的手作擺件與木質層架。我們不追求完美，甚至刻意保留木材的節瘤與斑駁的漆色。我們想推廣的是一種「惜物」的態度，讓這些帶有故事感的小物，在你的家中角落靜靜訴說著溫暖的時光物語。,2025/11/18,20,3,2,,
M0000038,C00036,鮮果時節,「將整座果園的精華，封存進透明的玻璃瓶中。」鮮果時節只選用當季在地小農種植的水果，堅持以不加水的純手工熬煮工法。我們嚴格控管糖分比例，讓果醬保留了最原始的果酸與飽滿果粒。無論是抹在吐司上或是加入優格，每一口都能感受到大地的氣息。這不只是果醬，更是我們對這片土地最真摯的情書，讓季節的滋味在你的舌尖長存。,2025/8/7,20,3,2,,
M0000039,C00037,辛香秘境,對於辛辣的追求，我們從不妥協。辛香秘境的職人走訪世界各地，調配出多款層次分明的辣椒醬與特色香料醬。從香麻不嗆的椒麻油到濃郁甘醇的干貝XO醬，每一款都經過長時間的低溫慢炸，確保香氣徹底釋放且不燥熱。我們不添加防腐劑，只用最純粹的食材激發味蕾的渴望。這是一場餐桌上的華麗冒險，專為對味道挑剔的嗜辣者而設計。,2025/9/12,20,3,2,,
M0000040,C00038,晨曦果食,我是一位熱愛品茗的創作者，晨曦果食是我將「茶香」與「果實」完美融合的實驗結果。我們首創茶味果醬系列，如伯爵紅茶與蘋果的交織，或是金宣茶與梨子的碰撞。我們利用茶葉的單寧感提升果醬的層次，讓風味甜而不膩。每天早晨，當你打開瓶蓋，那股清新淡雅的氣息就像曙光般溫柔，為你開啟一段充滿質感與詩意的早餐時光。,2025/9/27,20,3,2,,
M0000041,C00039,醬心厚道,「好的抹醬，應該能品嚐到食材最初的誠實。」醬心厚道專精於各類堅果醬與純黑巧克力醬。我們堅持無鹽、無糖、無氫化油，僅靠堅果本身的油脂磨製出極致濃郁的細滑口感。無論是濃苦的黑巧克力還是帶有顆粒感的花生醬，都代表了我們對健康的堅持。這是一個溫厚的品牌，希望透過紮實的用料，給予每一位食客最厚實、最安心的營養補充。,2025/7/30,20,3,2,,
M0000042,C00040,漬物日常,漬物日常試圖在傳統與現代口味間找到完美的銜接。我們將傳統的發酵技術應用在現代食材上，研發出酸甜開胃的漬果、特色橄欖油抹醬與日式風味佃煮。我們的品牌風格清新簡約，希望將「漬物」從餐桌的配角，昇華為能妝點生活品質的重要元素。每一瓶漬物都經過時間的靜置與沉澱，醞釀出層次豐富的熟成美學，讓你的每一餐都更有深度。,2025/11/2,20,3,2,,
M0000043,C00041,刻印記憶,我在木板與雕刻刀的交疊中，尋找那些被遺忘的故事。刻印記憶專注於傳統木刻版畫創作，作品風格寫實且富有張力。每一條刀痕的深淺都代表著創作當下的力道與心境。我們將這些版畫印製在手工紙上，保留了那份樸實的壓印痕跡。我們不追求數位印刷的精準，而是著迷於手作版畫的厚重感與唯一性，希望能為你的牆面刻下一段深刻的藝術記憶。,2025/9/19,20,3,2,,
M0000044,C00042,拓之美學,大自然是最高明的畫家，我只是她的搬運工。拓之美學致力於「植物拓印」工藝，我們在山林間蒐集落葉與花影，透過特殊配方的染料將細膩的脈絡拓印在純棉布料或美術紙上。每一件作品都是大自然在特定時空下的剪影，無法複製，亦不可重現。我們希望透過這種最原始、最直接的紀錄方式，喚醒人們對自然美學的關注，在日常中留住那一抹綠意的靈魂。,2025/10/9,20,3,2,,
M0000045,C00043,彩墨活字,我們熱愛金屬鉛字碰撞紙張時發出的清脆聲響。彩墨活字復刻了老派的活字印刷美學，結合現代的配色與排版設計，製作出一系列獨具風格的卡片與筆記本。每一枚活字都帶有微微的凹陷質感，那是機器無法取代的溫度。這是一個關於紀錄與傳遞的品牌，希望在數位時代，人們依然能透過這些帶有觸感的文字，感受到書寫的重量與溝通的真誠。,2025/8/17,20,3,2,,
M0000046,C00044,紙上版物,紙上版物是孔版印刷（Risograph）的創意基地。我們著迷於這種印刷技術特有的色彩堆疊與微小的對位誤差，讓每張海報、每本小誌都散發出一股懷舊又前衛的氣息。我們的色彩大膽鮮艷，充滿了實驗精神。對我們來說，版畫不該被束縛在藝廊，而應該是以更平易近人的方式走入生活。這裡適合熱愛設計、追求獨特視覺風格的你，一起在色彩的錯位中發現驚喜。,2025/10/27,20,3,2,,
M0000047,C00045,墨跡印記,墨跡印記專研於石版與銅版畫的精細創作。我是品牌主理人，我對版畫中那如髮絲般細緻的線條有著近乎偏執的追求。我們的作品多以古典生物學與星象為主題，呈現出如百科全書插畫般的典雅與神祕感。我們堅持使用高品質的藝術用紙與進口油墨，確保作品能抵禦時光的侵蝕。如果你正在尋找一件能提升居家藝術底蘊、值得細細品味的藏品，墨跡印記將是你的首選。,2025/9/4,20,3,2,,
M0000048,C00046,純銀微光,「銀，是月光的碎片。」在純銀微光，我喜歡觀察流水的波動與風的線條，並將這些無形之美化作手工鍛造的銀飾。我堅持不使用大量翻模，而是透過反覆的敲擊、焊接與拋光，讓每一枚戒指與墜飾都具備獨特的生命痕跡。銀飾會隨著你的佩戴而展現不同的明暗層次，我們希望作品能像月光般靜謐而溫柔地守護著你，散發出優雅且不張揚的個人光采。,2025/7/26,20,3,2,,
M0000049,C00047,銅研舍,黃銅，有一種吸引人的厚重年代感。銅研舍致力於挖掘黃銅的各種可能，從極簡的幾何耳環到複雜的鏤空項鍊，都展現出獨特的古樸美學。我們刻意保留部分火烤的痕跡，讓飾品呈現出深邃的古銅色調。黃銅會隨時間產生氧化現象，展現出如古物般的韻味。我們品牌想傳達的是一種「歲月美感」，適合喜歡復古風格、追求物品隨時間沉澱出靈魂的品味愛好者。,2025/9/11,20,3,2,,
M0000050,C00048,珠圓玉潤,大家好，我是珠圓玉潤的創作者。我深深著迷於天然珍珠與半寶石那種渾然天成的圓潤感。不同於工業化的完美切割，我更愛那些形態各異、帶有天然褶皺的巴洛克珍珠。我運用細緻的金工鑲嵌，將珍珠與金屬絲纏繞在一起，創造出帶有文藝復興浪漫風格的首飾。我們的品牌理念是「優雅地回歸自然」，讓每一位女性都能在珍珠的光暈中，發現自己最柔美且堅韌的一面。,2025/10/4,20,3,2,,
M0000051,C00049,熔岩金屬,熔岩金屬是一個追求極致個性與張力的品牌。我們打破了傳統飾品平整光滑的框架，利用特殊的熔融技術，讓金屬呈現出如火山口熔岩流動後的粗獷紋理。作品風格中性且極具重量感，適合不分性別、喜愛硬派美學的人士。每一件作品的起伏、坑洞都是隨機而生，象徵著生命中那些無法預測但充滿力量的轉折。在這裡，首飾不只是裝飾，更是你靈魂的一種武裝。,2025/10/29,20,3,2,,
M0000052,C00050,點石成金,「每一顆原石，都藏著一個古老的故事。」點石成金專注於將未經切割的天然原礦，結合精細的金絲編織與焊接技術。我們不加工石頭的形狀，而是根據它原始的姿態去設計結構。這種「以石為本」的創作方式，讓每一款項鍊都像是大自然的微型景觀。我們希望能透過金工的力量，將這些深埋地底的寶藏帶到你的胸前，讓你在都市的喧囂中，依然能感受到來自大地原始的能量與陪伴。,2025/8/9,20,3,2,,
M0000053,C00051,植物肌密,「肌膚是身體最大的器官，它值得最溫柔的對待。」我們深信植物的力量，堅持以冷壓植物油為基底，開發高效且純粹的臉部精華油。每一瓶產品都蘊含著大地的養分，拒絕化學防腐劑與人工色素，只給肌膚真正需要的營養。我們想邀請你簡化繁瑣的護膚程序，回歸「減法保養」，在植物的芳香中找回肌膚最原始的細緻與健康光澤。,2025/10/20,20,3,2,,
M0000054,C00052,水潤原生,身為研發者，我對「純淨」有著近乎偏執的追求。水潤原生專注於高純度玻尿酸與天然保濕因子的應用，剔除所有可能致敏的添加物。我們的保濕產品旨在建立肌膚的天然屏障，讓補水不再只是表面功夫。每一滴精華都是我們對品質的承諾，適合追求極簡、透明配方的你。讓保養回歸根本，給予肌膚如初生般的純淨水感，感受零負擔的呵護。,2025/9/2,20,3,2,,
M0000055,C00053,泥好保養,「泥土，是大自然最慷慨的淨化者。」泥好保養蒐羅了來自世界各地的天然礦泥粉，從摩洛哥熔岩泥到死海黑泥，為不同膚質提供專屬的深層清潔方案。我們鼓勵「趣味保養」，提供 DIY 泥膜組合，讓你根據當下的肌膚狀態親手調配。這不僅是護膚，更是一場與肌膚對話的療癒儀式，在塗抹與洗淨之間，感受毛孔徹底釋放的清新與舒爽。,2025/11/13,20,3,2,,
M0000056,C00054,花語水潤,大家好，我是花語水潤的主理人。我迷戀於植物萃取過程中的那一滴精粹——純露（花水）。我們堅持小農契作與低溫蒸餾，保留花朵完整的活性與香氣。不同於一般化妝水，我們的純露不含酒精與人工香精，是天然的保濕與修護首選。透過每一次的噴灑，你彷彿能聽見花朵的低語，讓芬芳療法自然地融入你的護膚生活，賦予身心靈優雅的滋潤。,2025/8/21,20,3,2,,
M0000057,C00055,舒敏之道,「為敏弱肌尋找一條平穩的道路。」這是我創立品牌的初衷。因為自己長期受敏感肌困擾，我致力於研發以積雪草、神經醯胺等修護成分為核心的保養品。舒敏之道強調「穩定」與「修護」，不求快速見效，但求長效呵護。我們通過多重低敏測試，只為讓你在換季或壓力大時，能擁有一份最安心的肌膚依靠。讓保養成為一種享受，而非挑戰。,2025/9/25,20,3,2,,
M0000058,C00056,碎紙冒險,我是一個生活中的收集者，從老報紙、過期的地圖到斑駁的電影票，都是我創作的養分。碎紙冒險擅長運用這些帶有時間痕跡的媒材，透過切割與重新重組，創造出具備超現實感與復古底蘊的藝術作品。我喜歡在混亂的色塊中尋找秩序，每張作品都在訴說一段被遺忘的故事。邀請你一起進入這個紙張的迷宮，發現那些隱藏在碎紙邊緣的奇幻夢境。,2025/8/28,20,3,2,,
M0000059,C00057,膠帶森林,誰說和紙膠帶只能用來貼筆記本？在膠帶森林，我將捲捲膠帶化作畫筆，透過層層疊加與細膩的切割，拼貼出一幅幅色彩繽紛的立體畫作。我的作品多以花鳥、日常風景為主題，風格輕快活潑，帶有一種獨特的透明感。我追求的是一種隨興而不隨便的手作美學，希望透過這些充滿活力的膠帶創作，為你的生活空間增添一份輕鬆寫意的藝術氣息。,2025/11/6,20,3,2,,
M0000060,C00058,布碎日常,「布料的邊緣，藏著最溫柔的線條。」布碎日常將製衣過程中產生的剩餘布料收集起來，利用纖維的質地與花紋進行藝術拼貼。我們將不同厚度、材質的碎布重新組合，創作出具有浮雕感的布藝裝飾畫。每一件作品都展現了永續利用的精神與手工的溫度，色彩交織間帶有一種樸實的敘事感。我們想讓你知道，美感不必昂貴，生活中隨處可見的細碎都能成就經典。,2025/8/14,20,3,2,,
M0000061,C00059,拾物實驗室,我們是一群熱愛蒐集「無用之物」的藝術家。拾物實驗室將乾燥花草、鏽蝕的鐵絲、舊相片與複合媒材融合在一起，進行一場關於記憶與時間的拼貼實驗。作品風格懷舊、神祕且極具收藏感。我們不定義藝術的形式，而是透過媒材間的撞擊引發觀者的共鳴。每一件手作作品都是獨一無二的感官探索，適合喜歡挖掘生活細節、擁抱多樣美學的靈魂。,2025/10/8,20,3,2,,
M0000062,C00060,色塊詩集,色塊詩集追求極簡的幾何美學。我們捨棄繁瑣的細節，專注於色彩塊面與比例的協調。創作者擅長運用純色美?紙進行拼貼，透過疊放與留白，傳達出一種如詩般的意境與空間感。作品風格現代且冷靜，適合裝飾在北歐風或極簡風的居家空間中。我們相信簡約的力量能沉澱心靈，讓每一幅色塊拼貼都成為你空間中一段安靜而深刻的視覺獨白。,2025/9/15,20,3,2,,
M0000063,C00061,嗅覺日記,「香氣，是記憶最忠實的時光機。」嗅覺日記堅持使用頂級大豆蠟與純淨香精油，親手調配出多款具有敘事感的香氛蠟燭。我們不追求市售香水的濃烈，而是偏愛模擬大自然中的微小氣息，如清晨的森林霧氣、午後的舊書攤。每一款香氣都對應一段生活心情，讓你在點燃燭火的瞬間，就能穿越時空，沉浸在專屬於你的私密回憶與療癒時光中。,2025/10/22,20,3,2,,
M0000064,C00062,燃燒之詩,我是燃燒之詩的創作者，我特別迷戀木質燭芯在燃燒時發出的細微「啪噠」聲。我們的手工蠟燭不僅提供優質的嗅覺體驗，更重視視覺與聽覺的儀式感。我們開發了多款結合大地元素的香調，如煙燻雪松、乾燥苔蘚。這是一個關於「沉靜」的品牌，希望能為你忙碌的夜晚點亮一盞光，透過溫暖的燭光與自然的香韻，讓浮躁的心靈在跳動的火苗中獲得慰藉。,2025/8/1,20,3,2,,
M0000065,C00063,氛圍實驗室,在氛圍實驗室，我們相信香氛是空間隱形的裝潢。我們專注於開發室內噴霧與無火擴香座，品牌風格走的是中性、冷色調的工業美學。我們擅長調配木質調與冷色調的香氣，如岩蘭草、黑胡椒與冷衫。我們追求的是一種高級而低調的空間質感，讓你的居家環境在無形中散發出專業且獨特的品味。這不只是香氣，更是你對精緻生活態度的一種無聲宣告。,2025/8/24,20,3,2,,
M0000066,C00064,慢活香氣,大家好，我是慢活香氣的主理人。我致力於將香氛帶出戶外，隨身攜帶。我們研發了多款天然精油香膏與滾珠瓶，體積輕巧，方便在任何時刻輕輕塗抹於腕間。我們的配方強調放鬆與提神，適合需要隨時切換心情的都會族群。品牌的核心是「把森林帶在身上」，讓自然的芬芳成為你面對挑戰時最溫柔的後盾，隨時隨地開啟一段五分鐘的靜心旅行。,2025/10/17,20,3,2,,
