ProductID,CreatorID,ProductName,Description,Price,CostPrice,StatusID,StockLevelType,AlertQty,SortOrder,CategoryIDs,TagIDs
P000000112,C00019,超長舒壓雲朵抱枕,長度 120cm，適合側睡或放鬆依靠。,2800,900,2,normal,5,1,22,3
P000000113,C00019,圓滾滾大貓咪抱偶,極致彈性布料，像麻糬般好揉好捏。,1500,480,2,normal,5,1,22,31
P000000114,C00019,減壓重力小袋鼠偶,內部含有配重顆粒，放置於膝蓋上具穩定感。,1200,380,2,normal,5,1,22,29
P000000115,C00019,懶洋洋樹懶長枕,慵懶表情與柔軟長臂，讓人一抱就愛上。,1800,600,2,zero,5,1,22,3
P000000116,C00019,繽紛馬卡龍圓靠墊,糖果色系設計，點亮居家角落。,650,180,2,normal,5,1,22,3
P000000117,C00019,U型頸部療癒枕,旅行出差好夥伴，提供完美的支撐。,580,160,1,normal,5,1,22,46
P000000118,C00019,抱抱時光專屬大披毯,帶有可愛兜帽，可穿在身上當作大偶。,1600,500,2,normal,5,1,22,3
P000000119,C00019,溫馨小屋三角靠墊,適合在床上閱讀時支撐背部。,1350,420,2,low,5,1,22,3
P000000120,C00019,愛心迷你抱枕組,一組三入，傳遞滿滿的溫暖與愛。,450,120,2,normal,5,1,22,3
P000000121,C00020,鉤針編織小熊公仔,傳統鉤針技法，擁有獨特的格點質感。,1200,350,2,normal,5,1,22,20
P000000122,C00020,針織植物微縮盆栽,永不枯萎的綠意，放在桌面超吸睛。,550,150,2,normal,5,1,22,20|32
P000000123,C00020,北歐風手織大象偶,簡約灰色調，細緻的針法展現高品質。,1500,450,2,normal,5,1,22,20
P000000124,C00020,編織動物造型髮帶,充滿童趣的貓耳或兔耳設計，深受好評。,380,100,2,normal,5,1,22,20|28
P000000125,C00020,針織好朋友午睡枕,結合布料與針織面，提供不同層次的觸感。,950,280,2,normal,5,1,22,20
P000000126,C00021,植鞣革手縫長夾,經典工藝，隨使用時間展現迷人古色。,4500,1500,2,normal,5,1,3,17
P000000127,C00021,原創墨漬感零錢包,透過特殊技法在皮革上呈現墨水暈染感。,1200,350,2,normal,5,1,3,3|29
P000000128,C00021,硬派皮革工具捲包,適合職人收納刀具或昂貴筆具。,2800,900,2,normal,5,1,3,9|29
P000000129,C00021,皮墨原創護照套,旅行中的質感夥伴，內含多格卡槽。,1800,550,2,normal,5,1,3,3|9
P000000130,C00021,手工皮革滑鼠墊,提升辦公質感，滑動順暢且越用越亮。,1500,450,2,normal,5,1,3,1|9
P000000131,C00021,皮革與金屬結合飾品架,簡約的皮革托盤結合工業風黃銅桿。,2200,700,2,normal,5,1,3,9|28
P000000132,C00022,粗獷風格斜背包,顯眼的粗手縫線與厚實牛皮，充滿生命力。,6500,2200,2,normal,5,1,3,29
P000000133,C00022,重機騎士皮革腰袋,專為便利取物設計，外型硬派俐落。,3500,1200,2,normal,5,1,3,9|29
P000000134,C00022,手縫職人專用工作袋,結構堅固，可懸掛於腰間放置各種工具。,2500,800,2,normal,5,1,3,17|29
P000000135,C00022,復古銅釦手札本,手縫皮革封套，可更換內頁，陪伴一生。,1800,600,2,normal,5,1,3,36
P000000136,C00022,皮革隔熱杯套 (一組),為你的露營杯增添一份職人氣息。,650,180,2,normal,5,1,3,9
P000000137,C00022,匠心系列鑰匙收納夾,緊湊設計，防止鑰匙碰撞發出聲響。,850,250,2,normal,5,1,3,3
P000000138,C00022,皮革手工皮帶,實心黃銅釦頭，經久耐用的最佳保證。,2200,700,2,normal,5,1,3,1|9
P000000139,C00023,羔羊皮編織晚宴包,柔軟觸感與精緻編織，展現極致優雅。,8800,3000,2,normal,5,1,3,9|20|29
P000000140,C00023,玫瑰金釦輕巧小方包,俐落線條，適合日常社交場合配戴。,5200,1800,2,normal,5,1,3,29
P000000141,C00023,珠寶質感皮革首飾盒,內襯高級麂皮，細心呵護你的珍貴飾品。,3200,1100,1,normal,5,1,3,9
P000000142,C00023,纖細皮編手環,結合18K金配件，低調而奢華。,1800,600,2,normal,5,1,3,9|28
P000000143,C00023,皮革流蘇手拿包,隨著步伐擺動的流蘇，展現靈動美感。,4500,1500,2,low,5,1,3,9|29
P000000144,C00024,復古相機包 (經典款),內有防震襯墊，完美保護你的愛機。,4800,1600,2,normal,5,1,3,29|36
P000000145,C00024,老派紳士公事包,雙釦設計，重現上世紀的商務美學。,7500,2500,2,normal,5,1,3,29
P000000146,C00024,手工皮底復古樂福鞋,舒適透氣，每一雙皆為師傅手工訂製。,6800,2200,2,normal,5,1,3,1|9|36
P000000147,C00024,復古圓形化妝鏡箱,外殼包裹皮革，內附高清晰大鏡面。,3500,1100,2,normal,5,1,3,36
P000000148,C00024,懷舊皮質信封包,A4 尺寸，適合收納重要的文件或合約。,2200,750,2,normal,5,1,3,9|29
P000000149,C00024,皮革復古行李掛牌,讓你的行李箱在一片茫茫包海中脫穎而出。,550,180,2,normal,5,1,3,9|36
P000000150,C00024,復古色調皮革眼鏡盒,三角摺疊設計，不使用時可扁平收納。,1200,400,2,normal,5,1,3,9|36
P000000151,C00024,懷舊皮革鑰匙圈組,經典黃銅五金與厚實皮革的完美邂逅。,450,140,2,normal,5,1,3,9
P000000152,C00025,超輕量雲朵皮夾,捨棄繁複層次，回歸極簡的輕量體驗。,2200,700,2,normal,5,1,3,9
P000000153,C00025,通勤族專用頸掛識別證套,柔和色系與細緻皮繩，不磨傷頸部肌膚。,950,300,1,normal,5,1,3,3
P000000154,C00025,摺疊型皮革購物袋,可摺疊成手掌大小，優雅應對臨時採購。,1800,600,2,normal,5,1,3,9|29
P000000155,C00025,柔皮日常手機斜背袋,輕巧出門的首選，可收納手機與三張卡片。,1500,500,2,normal,5,1,3,9|29
P000000156,C00025,多功能皮革耳機收納套,完美收納藍牙耳機，磁扣設計取用方便。,680,220,2,normal,5,1,3,9|74
P000000157,C00025,柔皮系列筆記本封套,讓寫字時的手感更加柔軟舒適。,1200,400,2,low,5,1,3,9|30
P000000158,C00026,晨曦森林冷製皂,添加雪松與冷杉精油，洗後如漫步森林。,380,110,2,normal,5,1,27,38
P000000159,C00026,羊奶蜂蜜滋養皂,適合乾性肌，泡沫如奶油般細密豐盈。,420,120,1,normal,5,1,27,3
P000000160,C00026,雲朵造型起泡網,專利網織技術，能輕鬆搓出如浮雲般的泡泡。,150,35,2,normal,5,1,27,3
P000000161,C00026,薰衣草舒眠沐浴組,包含手工皂與絲巾包裹，送禮首選。,980,280,2,normal,5,1,27,3
P000000162,C00026,竹炭深層淨化黑皂,強力吸附油脂，針對油性肌膚設計。,350,90,2,normal,5,1,27,7
P000000163,C00026,泡沫浮雲手工皂盤,特殊疏水設計，保持皂體乾燥不軟爛。,550,150,2,zero,5,1,27,1
P000000164,C00027,喜馬拉雅粉紅浴鹽,蘊含多種礦物質，促進排汗與放鬆身心。,680,180,2,normal,5,1,27,3
P000000165,C00027,尤加利清爽去角質霜,以細緻海鹽為基底，溫和代謝老廢角質。,750,220,2,normal,5,1,27,3
P000000166,C00027,橙花舒壓足浴包,睡前足浴的好夥伴，緩解足部痠痛。,450,120,2,normal,5,1,27,29|32
P000000167,C00027,礦物能量沐浴球,投入水中產生繽紛氣泡，釋放精油香氣。,280,70,2,normal,5,1,27,3
P000000168,C00027,鹽之呼吸純棉浴巾,高吸水力長絨棉，觸感如海鹽般蓬鬆。,1200,350,2,normal,5,1,27,3
P000000169,C00028,艾草舒緩洗髮露,濃縮植物精華，有效平衡頭皮油脂。,850,240,2,low,5,1,27,3
P000000170,C00028,茶樹淨化沐浴膠,清新茶樹香氣，帶來極致的清爽洗感。,780,210,2,normal,5,1,27,3
P000000171,C00028,森林系植萃潤膚乳,質地輕盈好吸收，散發淡淡木質香調。,920,260,2,normal,5,1,27,38
P000000172,C00028,草本頭皮按摩油,結合多種精油，活絡頭皮並放鬆壓力。,1100,300,2,normal,5,1,27,9
P000000173,C00028,植萃手工洗顏慕斯,自動起泡設計，溫和洗淨臉部髒汙。,580,160,2,normal,5,1,27,1
P000000174,C00028,草本萃取隨身皂片,出國旅行必備，輕巧易攜帶。,180,40,2,normal,5,1,27,3
P000000175,C00028,廣藿香深層修護膏,針對手肘、足跟乾燥處提供強力滋潤。,450,110,2,normal,5,1,27,3
P000000176,C00028,職人手作草本暖包,內含多種藥草，加熱後散發舒壓氣味。,650,180,2,normal,5,1,27,29
P000000177,C00029,寶石系渲染手工皂,每一塊都像切割過的彩色礦石，視覺震撼。,520,140,2,normal,5,1,27,1
P000000178,C00029,虹光透感沐浴凝露,液體帶有細緻亮粉，如流動的光影。,680,190,2,normal,5,1,27,3
P000000179,C00029,光影交織香氛蠟燭,容器經過特殊設計，點燃後投射美觀陰影。,1200,350,2,normal,5,1,27,20|76
P000000180,C00029,琉璃質感肥皂架,純手工燒製，呈現半透明的水波紋美感。,750,220,2,normal,5,1,27,3
P000000181,C00029,漸層星空浴用鹽磚,投入水中後會將水色染成如星空般的藍。,420,110,2,normal,5,1,27,3
P000000182,C00029,沐浴光影限量禮盒,集結品牌明星商品，包裝具現代藝術感。,2200,600,2,normal,5,1,27,2|85
P000000183,C00029,絲絨感沐浴手套,柔軟材質，能增加清潔時的手部舒適度。,280,70,1,normal,5,1,27,3
P000000184,C00030,無香料敏弱肌修護乳,針對極度乾燥與敏感肌膚設計的保濕配方。,1500,450,2,zero,5,1,27,3
P000000185,C00030,金盞花溫和洗顏凝露,舒緩肌膚紅腫，洗後不緊繃。,650,180,2,normal,5,1,27,32
P000000186,C00030,嬰兒專用極簡沐浴油,無淚配方，溫柔守護寶寶幼嫩肌膚。,980,280,2,normal,5,1,27,34
P000000187,C00030,屏障修護神經醯胺精華,強化肌膚抵抗力，解決換季過敏問題。,1800,550,2,normal,5,1,27,3
P000000188,C00030,純淨之源有機棉巾,無漂染處理，保留棉花天然的細緻觸感。,450,120,2,normal,5,1,27,3
P000000189,C00031,手工鏤空陶瓷小夜燈,投射出漫天星斗的溫暖光影。,1450,450,2,normal,5,1,12,1|19|59
P000000190,C00031,復古銅質玻璃燭台,經典歐式風格，增添居家浪漫氛圍。,850,250,2,normal,5,1,12,36
P000000191,C00031,森林系木質氛圍燈,原木底座結合手繪透光片，呈現自然意境。,1800,550,2,normal,5,1,12,7|38|59
P000000192,C00031,月亮造型感應燈,溫潤的磨砂質感，陪伴你半夜的腳步。,950,280,2,normal,5,1,12,59
P000000193,C00031,微光乾花裝飾燈串,將永生花封存於燈泡中，浪漫唯美。,720,200,2,normal,5,1,12,32|59
P000000194,C00031,鑄鐵極簡幾何燭台,工業風設計，線條俐落大方。,580,160,2,normal,5,1,12,34
P000000195,C00032,水泥與胡桃木擴香座,硬冷建築材料與溫潤木質的完美碰撞。,1200,380,2,normal,5,1,12,7|76
P000000196,C00032,工業風水泥木質時鐘,數字處以木條鑲嵌，展現衝突之美。,2500,800,2,normal,5,1,12,7|37
P000000197,C00032,雙材質幾何名片架,桌面上的藝術品，低調展現品味。,450,120,2,low,5,1,12,60
P000000198,C00032,植感水泥木框盆器,適合種植多肉植物，極具層次感。,780,220,2,normal,5,1,12,7
P000000199,C00032,木石共生書桌集線器,磁吸設計，讓電線不再凌亂。,850,250,2,normal,5,1,12,7|59
P000000200,C00033,民族風 Macram? 壁掛,手工編織複雜圖騰，賦予空間立體感。,2200,650,2,normal,5,1,12,67
P000000201,C00033,漂流木編織小掛飾,結合大自然素材，呈現野性之美。,580,150,2,normal,5,1,12,7|20
P000000202,C00033,幾何撞色手工編織毯,適合掛在床頭或沙發背後裝飾。,3800,1100,2,normal,5,1,12,1|20
P000000203,C00033,編織流蘇植物吊籃,讓植栽向上延伸，節省地面空間。,750,200,2,normal,5,1,12,20|32
P000000204,C00033,捕夢網編織掛飾,守護美夢，適合裝飾於窗邊。,850,250,2,normal,5,1,12,20
P000000205,C00033,羊毛氈立體裝飾掛布,溫暖質感，適合冬日居家裝飾。,1500,450,2,normal,5,1,12,27|59
P000000206,C00033,迷你編織鑰匙包,將掛毯工藝縮小，隨身攜帶手作感。,320,80,2,normal,5,1,12,20|29
P000000207,C00034,水晶捕夢網掛飾,捕捉陽光並折射出滿室的七彩光芒。,1200,350,1,normal,5,1,12,3
P000000208,C00034,彩虹太陽捕手 (Sun Catcher),彩色玻璃與透明水晶的完美組合。,950,280,2,normal,5,1,12,3
P000000209,C00034,窗邊微光彩色花瓶,透過光影反射呈現迷幻的視覺效果。,1500,450,2,low,5,1,12,32
P000000210,C00034,玻璃彩繪裝飾貼,免膠設計，讓窗戶瞬間變成彩繪玻璃。,450,120,2,normal,5,1,12,59
P000000211,C00034,懸掛式空氣鳳梨座,簡約金屬線條，讓植物在窗前起舞。,680,180,2,normal,5,1,12,3
P000000212,C00034,窗邊日常手作風鈴,玻璃清脆聲響，帶來夏季的清涼感。,850,240,2,normal,5,1,12,3
P000000213,C00035,復古色調木質層架,呈現歲月斑駁感，收納你的珍貴雜貨。,1800,550,2,normal,5,1,12,7|36
P000000214,C00035,仿舊錫製收納盒,刻有優雅圖騰，適合放置文具或印章。,450,120,2,normal,5,1,12,3
P000000215,C00035,手工編織竹籃組,一組三件，打造鄉村風的收納空間。,1200,380,2,normal,5,1,12,1|7|20
